Kojoj starosnoj grupi pripadate?,Vaš trenutni status je:,Da li trenutno imate neki vid investicije?,Koliki mesečni iznos realno možete izdvojiti za investiranje?,Gde trenutno najčešće držite višak novca? ,Koji je Vaš primarni cilj investiranja?,Kako biste reagovali ako bi vrednost vašeg portfolija pala 20% u mesec dana?,Koji pad portfolija biste mogli psihološki da podnesete bez velikog stresa?,Koliko dugo biste mogli da držite investiciju bez potrebe da povučete novac?,Šta vam je najvažnije?,Koliko ste upoznati sa pojmovima ETF i indeks (npr. S&P 500)?,Da li znate gde i kako bi se tehnički moglo investirati u ETF (preko brokera/banke)?,Da li biste koristili digitalni alat koji daje personalizovane smernice za investiranje (uz edukativna objašnjenja)?
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Penzioner,Da,< 50 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,3–7 godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,Balans rizika i prinosa,2,Delimično,Možda
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
51 + godina,Zaposlen/a,Da,500 + €,Nekretnine,Finansijska sigurnost / “crni fond”,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,"Student, Zaposlen/a",Ne,50 - 200 €,Tekući račun / gotovina,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,1–3 godine,"Stabilnost i manji rizik, čak i uz manji prinos",2,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
18 - 25 godina,Zaposlen/a,Da,500 + €,Tekući račun / gotovina,Očuvanje vrednosti (zaštita od inflacije),Ne bih ništa menjao/la,Do 15%,1–3 godine,Balans rizika i prinosa,3,Ne,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
35 - 50 godina,Penzioner,Da,< 50 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,3–7 godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
35 - 50 godina,Penzioner,Da,< 50 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,3–7 godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Finansijska sigurnost / “crni fond”,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Finansijska sigurnost / “crni fond”,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
18 - 25 godina,Zaposlen/a,Da,< 50 €,Nemam višak novca za investiranje,Finansijska sigurnost / “crni fond”,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,3–7 godina,Balans rizika i prinosa,2,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
35 - 50 godina,Penzioner,Da,< 50 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,3–7 godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
26 - 35 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Finansijska sigurnost / “crni fond”,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
26 - 35 godina,Samozaposlen/a / Preduzetnik,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 15%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",2,Delimično,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
18 - 25 godina,Samozaposlen/a / Preduzetnik,Da,500 + €,Злато,Očuvanje vrednosti (zaštita od inflacije),Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",5,Da,Da
51 + godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Student,Da,< 50 €,Investicioni fondovi / ETF,Kupovina stana/kuće u budućnosti,Dokupio/la bih još jer verujem u dugoročni rast,Do 30%,3–7 godina,Balans rizika i prinosa,4,Da,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Možda
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,500 + €,Kriptovalute,"Brža zarada (visok prinos, veći rizik)",Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,5,Da,Ne
35 - 50 godina,Zaposlen/a,Da,50 - 200 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,5,Ne,Da
26 - 35 godina,Zaposlen/a,Ne,200 - 500 €,Investicioni fondovi / ETF,Dugoročna štednja / penzija,Dokupio/la bih još jer verujem u dugoročni rast,Do 15%,7+ godina,Balans rizika i prinosa,1,Da,Možda
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,200 - 500 €,Nekretnine,Očuvanje vrednosti (zaštita od inflacije),Ne bih ništa menjao/la,Do 5%,7+ godina,Balans rizika i prinosa,2,Delimično,Da
18 - 25 godina,Nezaposlen/a,Ne,< 50 €,Tekući račun / gotovina,"Brža zarada (visok prinos, veći rizik)",Odmah bih prodao/la sve da sprečim dalji gubitak,Do 5%,1–3 godine,"Veći prinos, čak i uz veći rizik",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Samozaposlen/a / Preduzetnik,Da,50 - 200 €,Štednja u banci,Kupovina stana/kuće u budućnosti,Ne bih ništa menjao/la,Do 5%,7+ godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
26 - 35 godina,Zaposlen/a,Da,200 - 500 €,Nekretnine,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 15%,7+ godina,Balans rizika i prinosa,1,Ne,Možda
35 - 50 godina,Penzioner,Da,< 50 €,Štednja u banci,Dugoročna štednja / penzija,Ne bih ništa menjao/la,Do 5%,3–7 godina,"Stabilnost i manji rizik, čak i uz manji prinos",1,Ne,Da
